timestamp,event_type,detection_result,orange_percentage,green_percentage,duration_seconds,debug_mode
2025-09-04 16:04:32,green_detection,緑,0.0,100.0,0.0,debug,
2025-09-04 16:04:33,orange_start,オレンジ,100.0,0.0,0.0,debug,
2025-09-04 16:04:35,orange_continue,オレンジ,100.0,0.0,1.0,debug,
2025-09-04 16:09:15,orange_start,オレンジ,100.0,0.0,0.0,normal,4.png
2025-09-04 16:17:48,orange_start,オレンジ,100.0,0.0,0.0,debug,1.png
2025-09-04 16:17:49,orange_continue,オレンジ,100.0,0.0,1.0,debug,1.png
2025-09-04 16:17:50,orange_continue,オレンジ,100.0,0.0,2.0,debug,4.png
2025-09-04 16:17:51,orange_continue,オレンジ,100.0,0.0,3.1,debug,1.png
2025-09-04 16:17:52,orange_end,緑,0.0,100.0,4.1,debug,3.png
2025-09-04 16:17:53,green_detection,緑,0.0,100.0,0.0,debug,3.png
2025-09-05 07:53:36,green_detection,緑,0.0,100.0,0.0,normal,3.png
2025-09-05 07:53:58,green_detection,緑,0.0,100.0,0.0,normal,3.png
2025-09-05 07:54:04,green_detection,緑,0.0,100.0,0.0,normal,2.png
2025-09-05 07:54:21,orange_start,オレンジ,100.0,0.0,0.0,normal,4.png
2025-09-05 07:56:31,orange_start,オレンジ,94.1,0.0,0.0,normal,target.png
2025-09-05 08:20:27,unknown_detection,不明,0.0,0.0,0.0,normal,target.png
2025-09-05 08:20:50,orange_start,オレンジ,100.0,0.0,0.0,normal,target.png
2025-09-05 08:21:20,green_detection,緑,0.0,100.0,0.0,normal,target.png
2025-09-05 12:32:38,green_detection,緑,0.0,100.0,0.0,normal,target.png
2025-09-05 12:33:15,unknown_detection,不明,100.0,0.0,0.0,normal,camera_capture_20250905_123315.png
2025-09-05 12:37:09,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_123709.png
2025-09-05 12:39:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_123910.png
2025-09-05 12:40:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124010.png
2025-09-05 12:41:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124110.png
2025-09-05 12:42:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124210.png
2025-09-05 12:43:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124310.png
2025-09-05 12:44:10,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124410.png
2025-09-05 12:45:22,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124522.png
2025-09-05 12:46:22,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124622.png
2025-09-05 12:46:36,green_detection,緑,0.0,100.0,0.0,normal,temp_frame_20250905_124636.png
